ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,VarianceValue,RiskScore,ActionRequired
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00001,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,APAC,SG10,Euro Logistics,Data Loaded,2025-09-28,2025-10-12,2025-10-26,14,28,True,System integration gap,410577.1,9,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00002,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Nina Patel,APAC,SG10,Pacific Electronics,Cycle Opened,2025-06-06,2025-06-27,2025-07-14,21,38,True,Supplier delay,92747.99,50,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00003,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Jon Miller,AMER,SG10,Euro Logistics,Data Loaded,2026-03-25,2026-04-24,2026-04-30,30,36,True,Approval delay,158392.88,41,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00004,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Priya Rao,APAC,PL10,Zenith Precision,Approved,2025-02-20,2025-03-13,2025-03-27,21,35,True,Pricing exception,401982.02,15,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00005,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Alex Chen,AMER,SG10,Zenith Precision,Data Loaded,2025-07-31,2025-08-10,2025-08-18,10,18,True,Quality hold,26631.51,70,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00006,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Nina Patel,EMEA,DE20,Meyer Metals,Reviewed,2025-01-23,2025-02-22,2025-02-25,30,33,True,Approval delay,405960.66,67,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00007,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Maria Garcia,AMER,US10,Meyer Metals,Reviewed,2025-08-15,2025-09-05,2025-08-26,21,11,False,,629499.65,67,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00008,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Sara Novak,AMER,SG10,Meyer Metals,Approved,2025-04-29,2025-05-06,2025-05-04,7,5,False,Capacity constraint,601248.42,90,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00009,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Maria Garcia,AMER,US10,Meyer Metals,Reviewed,2025-05-20,2025-05-23,2025-05-21,3,1,False,,488159.82,73,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00010,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Nina Patel,APAC,PL10,Summit Supply,Approved,2025-06-17,2025-06-22,2025-06-19,5,2,False,,130817.54,44,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00011,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,APAC,DE20,Euro Logistics,Approved,2025-06-20,2025-07-11,2025-07-27,21,37,True,Pricing exception,166054.42,60,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00012,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Jon Miller,EMEA,SG10,Meyer Metals,Approved,2025-08-19,2025-08-26,2025-08-26,7,7,False,,190283.91,85,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00013,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,AMER,PL10,Pacific Electronics,Data Loaded,2026-02-09,2026-02-12,2026-02-12,3,3,False,Capacity constraint,637470.57,16,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00014,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,APAC,SG10,Zenith Precision,Approved,2025-11-21,2025-12-01,2025-11-29,10,8,False,,631372.37,85,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00015,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,EMEA,DE20,Zenith Precision,Approved,2025-08-18,2025-09-17,2025-08-22,30,4,False,,502179.72,87,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00016,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Alex Chen,APAC,PL10,Meyer Metals,Reviewed,2025-02-09,2025-02-14,2025-02-11,5,2,False,,47838.32,65,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00017,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Nina Patel,AMER,DE10,Pacific Electronics,Cycle Opened,2025-12-30,2026-01-09,2026-01-12,10,13,True,Pricing exception,412477.4,65,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00018,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Priya Rao,AMER,US10,Pacific Electronics,Reviewed,2025-06-20,2025-07-20,2025-07-14,30,24,False,,618560.26,11,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00019,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Kenji Tanaka,EMEA,SG10,Summit Supply,Cycle Opened,2025-11-15,2025-12-06,2025-12-19,21,34,True,Pricing exception,90643.14,13,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00020,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Kenji Tanaka,AMER,PL10,Euro Logistics,Reviewed,2025-04-07,2025-04-12,2025-04-11,5,4,False,Quality hold,158682.5,95,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00021,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Sara Novak,AMER,PL10,Summit Supply,Reviewed,2025-10-06,2025-10-11,2025-10-15,5,9,True,Missing master data,489990.32,97,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00022,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,AMER,US10,Zenith Precision,Data Loaded,2025-05-16,2025-05-21,2025-05-21,5,5,False,,667215.37,63,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00023,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Thomas Weber,AMER,DE20,Zenith Precision,Cycle Opened,2026-01-12,2026-01-22,2026-02-05,10,24,True,System integration gap,449551.16,63,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00024,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Maria Garcia,EMEA,US10,Meyer Metals,Cycle Opened,2025-01-29,2025-02-28,2025-03-13,30,43,True,Capacity constraint,420349.65,26,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00025,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Kenji Tanaka,APAC,US10,Summit Supply,Data Loaded,2025-05-13,2025-06-12,2025-06-15,30,33,True,Missing master data,395472.92,54,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00026,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Maria Garcia,APAC,DE20,Summit Supply,Reported,2025-05-30,2025-06-02,2025-06-04,3,5,True,Capacity constraint,645078.86,78,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00027,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Alex Chen,AMER,DE20,Pacific Electronics,Reviewed,2025-11-17,2025-11-24,2025-11-23,7,6,False,,486067.37,29,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00028,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Jon Miller,APAC,PL10,Euro Logistics,Reviewed,2025-06-16,2025-06-19,2025-06-22,3,6,True,Quality hold,589383.54,46,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00029,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Priya Rao,APAC,DE20,Meyer Metals,Data Loaded,2025-10-16,2025-10-23,2025-10-30,7,14,True,Missing master data,712717.17,21,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00030,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Sara Novak,EMEA,DE20,Meyer Metals,Cycle Opened,2026-02-04,2026-02-14,2026-02-05,10,1,False,,569317.32,41,False
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00031,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Nina Patel,APAC,DE10,Euro Logistics,Cycle Opened,2025-09-20,2025-09-27,2025-09-30,7,10,True,Quality hold,294766.56,36,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00032,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Jon Miller,EMEA,US10,Zenith Precision,Reviewed,2025-03-06,2025-03-09,2025-03-10,3,4,True,Capacity constraint,260367.75,14,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00033,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Kenji Tanaka,APAC,PL10,Euro Logistics,Approved,2025-03-12,2025-03-19,2025-03-20,7,8,True,System integration gap,174973.52,8,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00034,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Sara Novak,APAC,US10,Summit Supply,Approved,2026-02-04,2026-02-18,2026-02-08,14,4,False,,539617.09,32,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00035,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Alex Chen,EMEA,SG10,Meyer Metals,Data Loaded,2025-06-19,2025-07-03,2025-07-08,14,19,True,Approval delay,117505.36,55,True
close2report_plan2perform,Close2Report / Plan2Perform,CLOSE2REPORT_PLAN2PERFORM-00036,Close Or Plan Cycle,Finance,Close and Planning Process Owner,Maria Garcia,APAC,DE10,Summit Supply,Data Loaded,2025-04-19,2025-04-24,2025-04-24,5,5,False,,152668.79,38,False
