ProcessID,ProcessName,CaseID,CaseName,Domain,OwnerRole,OwnerName,Region,PlantID,BusinessPartner,CurrentStage,StartDate,TargetDate,ActualOrForecastDate,TargetCycleDays,ActualCycleDays,SlaBreached,RootCause,LaunchValue,RiskScore,ActionRequired
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00001,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,APAC,SG10,Summit Supply,Launch Ready,2026-01-13,2026-01-23,2026-01-20,10,7,False,,237639.46,19,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00002,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,APAC,PL10,Summit Supply,Launch Ready,2025-06-30,2025-07-30,2025-08-28,30,59,True,Approval delay,69223.06,56,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00003,Product Initiative,Engineering,Product Lifecycle Process Owner,Thomas Weber,EMEA,DE10,Summit Supply,Idea Logged,2025-02-16,2025-03-18,2025-03-09,30,21,False,,617927.69,13,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00004,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,APAC,DE10,Pacific Electronics,Concept Approved,2025-02-15,2025-03-08,2025-03-28,21,41,True,System integration gap,660918.1,79,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00005,Product Initiative,Engineering,Product Lifecycle Process Owner,Kenji Tanaka,AMER,US10,Euro Logistics,Concept Approved,2025-12-04,2025-12-09,2025-12-10,5,6,True,Pricing exception,57219.98,65,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00006,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,EMEA,DE20,Meyer Metals,Release Approved,2026-01-13,2026-01-23,2026-01-24,10,11,True,Supplier delay,165260.18,62,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00007,Product Initiative,Engineering,Product Lifecycle Process Owner,Maria Garcia,AMER,SG10,Zenith Precision,Launch Ready,2025-03-24,2025-03-27,2025-03-25,3,1,False,Supplier delay,729013.31,96,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00008,Product Initiative,Engineering,Product Lifecycle Process Owner,Thomas Weber,APAC,DE10,Summit Supply,Launch Ready,2026-01-21,2026-01-24,2026-01-23,3,2,False,,417636.24,34,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00009,Product Initiative,Engineering,Product Lifecycle Process Owner,Jon Miller,EMEA,US10,Zenith Precision,Design Frozen,2025-02-24,2025-02-27,2025-03-01,3,5,True,Missing master data,616852.35,11,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00010,Product Initiative,Engineering,Product Lifecycle Process Owner,Kenji Tanaka,EMEA,DE20,Euro Logistics,Idea Logged,2025-10-05,2025-10-26,2025-10-10,21,5,False,Capacity constraint,441581.68,73,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00011,Product Initiative,Engineering,Product Lifecycle Process Owner,Jon Miller,EMEA,SG10,Zenith Precision,Design Frozen,2025-05-29,2025-06-19,2025-07-02,21,34,True,System integration gap,731518.96,14,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00012,Product Initiative,Engineering,Product Lifecycle Process Owner,Kenji Tanaka,EMEA,SG10,Meyer Metals,Design Frozen,2025-11-10,2025-11-20,2025-11-21,10,11,True,System integration gap,184752.0,13,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00013,Product Initiative,Engineering,Product Lifecycle Process Owner,Nina Patel,APAC,PL10,Meyer Metals,Release Approved,2025-06-28,2025-07-08,2025-07-12,10,14,True,Missing master data,77728.59,57,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00014,Product Initiative,Engineering,Product Lifecycle Process Owner,Jon Miller,EMEA,SG10,Pacific Electronics,Design Frozen,2026-03-25,2026-04-01,2026-04-03,7,9,True,Pricing exception,634887.42,92,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00015,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,AMER,DE10,Meyer Metals,Design Frozen,2025-03-12,2025-03-22,2025-03-23,10,11,True,System integration gap,200262.81,49,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00016,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,EMEA,US10,Summit Supply,Concept Approved,2025-12-14,2025-12-19,2025-12-21,5,7,True,Quality hold,155963.76,71,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00017,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,EMEA,US10,Summit Supply,Design Frozen,2025-08-18,2025-08-23,2025-08-22,5,4,False,,498412.99,64,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00018,Product Initiative,Engineering,Product Lifecycle Process Owner,Maria Garcia,EMEA,PL10,Zenith Precision,Launch Ready,2025-06-25,2025-06-28,2025-06-28,3,3,False,,718595.9,17,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00019,Product Initiative,Engineering,Product Lifecycle Process Owner,Maria Garcia,EMEA,DE10,Summit Supply,Concept Approved,2025-05-07,2025-05-12,2025-05-08,5,1,False,System integration gap,407218.08,85,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00020,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,EMEA,DE10,Euro Logistics,Launch Ready,2025-12-06,2025-12-11,2025-12-12,5,6,True,Supplier delay,736595.81,44,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00021,Product Initiative,Engineering,Product Lifecycle Process Owner,Maria Garcia,APAC,US10,Meyer Metals,Launch Ready,2025-01-19,2025-01-29,2025-02-03,10,15,True,Approval delay,619969.76,57,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00022,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,EMEA,SG10,Euro Logistics,Release Approved,2026-02-23,2026-03-05,2026-03-05,10,10,False,,385516.03,12,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00023,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,AMER,US10,Euro Logistics,Idea Logged,2025-09-12,2025-10-12,2025-10-16,30,34,True,Supplier delay,509663.8,80,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00024,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,AMER,DE10,Zenith Precision,Concept Approved,2025-02-15,2025-02-25,2025-02-27,10,12,True,Pricing exception,493486.53,67,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00025,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,APAC,DE20,Summit Supply,Release Approved,2025-06-06,2025-06-20,2025-06-30,14,24,True,System integration gap,231153.8,64,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00026,Product Initiative,Engineering,Product Lifecycle Process Owner,Nina Patel,EMEA,DE20,Zenith Precision,Launch Ready,2025-08-01,2025-08-22,2025-08-31,21,30,True,Pricing exception,494475.25,92,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00027,Product Initiative,Engineering,Product Lifecycle Process Owner,Priya Rao,EMEA,PL10,Summit Supply,Design Frozen,2025-09-18,2025-10-18,2025-10-23,30,35,True,Missing master data,523489.93,84,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00028,Product Initiative,Engineering,Product Lifecycle Process Owner,Maria Garcia,EMEA,DE20,Meyer Metals,Release Approved,2025-09-01,2025-09-08,2025-09-10,7,9,True,Quality hold,247583.68,69,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00029,Product Initiative,Engineering,Product Lifecycle Process Owner,Kenji Tanaka,APAC,US10,Meyer Metals,Launch Ready,2025-08-01,2025-08-15,2025-08-11,14,10,False,,740371.72,47,False
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00030,Product Initiative,Engineering,Product Lifecycle Process Owner,Jon Miller,EMEA,SG10,Pacific Electronics,Design Frozen,2025-02-27,2025-03-06,2025-03-11,7,12,True,Missing master data,470460.64,34,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00031,Product Initiative,Engineering,Product Lifecycle Process Owner,Thomas Weber,EMEA,DE20,Meyer Metals,Release Approved,2025-09-11,2025-09-21,2025-09-24,10,13,True,Supplier delay,404204.02,47,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00032,Product Initiative,Engineering,Product Lifecycle Process Owner,Nina Patel,APAC,DE10,Euro Logistics,Design Frozen,2025-12-13,2025-12-18,2025-12-19,5,6,True,Quality hold,454404.52,58,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00033,Product Initiative,Engineering,Product Lifecycle Process Owner,Nina Patel,EMEA,DE20,Pacific Electronics,Design Frozen,2025-03-22,2025-03-25,2025-03-23,3,1,False,,196231.11,77,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00034,Product Initiative,Engineering,Product Lifecycle Process Owner,Jon Miller,EMEA,US10,Zenith Precision,Launch Ready,2025-12-25,2026-01-08,2026-01-18,14,24,True,Quality hold,167008.81,39,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00035,Product Initiative,Engineering,Product Lifecycle Process Owner,Kenji Tanaka,AMER,DE20,Summit Supply,Release Approved,2026-01-12,2026-01-26,2026-02-03,14,22,True,Missing master data,533226.2,18,True
idea2launch,Idea2Launch / Engineer2Release,IDEA2LAUNCH-00036,Product Initiative,Engineering,Product Lifecycle Process Owner,Alex Chen,AMER,PL10,Euro Logistics,Concept Approved,2026-01-16,2026-01-19,2026-01-19,3,3,False,,741076.66,96,False
